"attracts","care_level","cycle","cones","cuisine","drought_tolerant","edible_fruit","edible_leaf","flowers","flower_color","flowering_season","fruits","fruit_color","growth_rate","hardiness_min","hardiness_max","harvest_season","indoor","invasive","leaf","leaf_color","maintenance","medicinal","origin","pest_susceptibility","poisonous_to_humans","poisonous_to_pets","propagation","pruning_month","salt_tolerant","seeds","soil","sunlight","thorny","tropical","type","watering","watering_period","id"
"[""Bees"",""Butterflies"",""Birds""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","White","Spring","TRUE","","Moderate","6","9","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""California"",""Oregon""]","[]","0","0","[""Seed Propagation""]","February","FALSE","1","[""Well-drained"",""Loamy"",""Sandy""]","[""Full sun"",""Part shade""]","TRUE","FALSE","Shrub","Average","Morning","ribes_californicum"
"[""Birds"",""Bees""]","Medium","Perennial","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","White","Spring","FALSE","","Moderate","7","10","","FALSE","FALSE","TRUE","Green","Moderate","TRUE","[""California"",""Baja California""]","[]","0","0","[""Seed Propagation""]","April","FALSE","1","[""Dry"",""Well-drained""]","[""Full sun""]","TRUE","FALSE","Shrub","Minimum","Morning","adenostoma_fasciculatum"
"[""Waterfowl"",""Small mammals""]","Easy","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Brown","Summer","TRUE","Brown","Moderate","7","11","","FALSE","TRUE","TRUE","Green","Low","FALSE","[""California"",""North America""]","[]","0","0","[""Seed Propagation"",""Rhizome division""]","March","TRUE","1","[""Wet"",""Loamy""]","[""Full sun""]","FALSE","FALSE","Rush or Sedge","Frequent","Morning","schoenoplectus_californicus"
"[""Bees"",""Butterflies""]","Easy","Perennial","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","White","Spring","TRUE","Red","Moderate","2","7","Autumn","FALSE","FALSE","TRUE","Green","Low","TRUE","[""North America""]","[]","0","0","[""Seed Propagation"",""Cutting""]","March","FALSE","1","[""Well-drained"",""Acidic""]","[""Part shade"",""Full shade""]","FALSE","FALSE","Ground Cover","Average","Morning","cornus_canadensis"
"[]","Easy","Annual","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","White","Spring","TRUE","","Moderate","9","11","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""North America""]","[]","0","0","[""Seed Propagation""]","March","FALSE","1","[""Well-drained"",""Dry""]","[""Full sun""]","FALSE","FALSE","Herb","Minimum","Morning","lepidium_nitidum"
"[]","Medium","Perennial","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Pink","Spring","FALSE","","Moderate","2","7","","FALSE","FALSE","TRUE","Green","Moderate","FALSE","[""North America"",""Eurasia""]","[]","0","0","[]","July","FALSE","1","[""Humus-rich"",""Well-drained""]","[""Filtered shade""]","FALSE","FALSE","Orchid","Average","Morning","calypso_bulbosa"
"[""Bees"",""Butterflies""]","Medium","Annual","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Purple","Spring","FALSE","","Moderate","6","10","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""California""]","[]","0","0","[""Seed Propagation""]","May","FALSE","1","[""Well-drained"",""Sandy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Wildflower","Average","Morning","collinsia_concolor"
"[""Bees"",""Butterflies""]","Easy","Annual","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Purple","Spring","TRUE","","Moderate","6","10","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""North America""]","[]","0","0","[""Seed Propagation""]","April","FALSE","1","[""Well-drained"",""Loamy""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Wildflower","Average","Morning","collinsia_heterophylla"
"[""Bees"",""Butterflies""]","Medium","Herbaceous","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","Yellow","Spring","TRUE","Brown","Low","7","10","","FALSE","FALSE","TRUE","Green","Low","FALSE","[""California""]","[""Fungal leaf spot""]","0","0","[""Seed Propagation""]","August","FALSE","1","[""Well-drained""]","[""Full sun"",""Part shade""]","FALSE","FALSE","Bulb","Average","Morning","calochortus_pulchellus"
"[]","Medium","Annual","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","","","FALSE","","Low","3","10","Autumn","FALSE","FALSE","FALSE","","Low","TRUE","[""Europe"",""North America""]","[]","0","0","[]","October","FALSE","0","[""Well-drained"",""Loamy""]","[""Filtered shade""]","FALSE","FALSE","Foliage House plants","Minimum","Morning","cantharellus_cibarius"
